City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Hilo,US,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
6,Jieshi,CN,82.0,light rain,22.8134,115.8257,Yuehai Hotel
7,Butaritari,KI,82.65,few clouds,3.0707,172.7902,Isles Sunset Lodge
12,Celestun,MX,88.56,clear sky,20.8667,-90.4,Posada Lilia
14,Cayenne,GF,87.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
17,Kapaa,US,80.92,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Ammon,US,84.25,clear sky,43.4696,-111.9666,"Holiday Inn Express & Suites Idaho Falls, an IHG Hotel"
29,Sao Filipe,CV,80.15,few clouds,14.8961,-24.4956,Hotel Xaguate
32,Mandera,KE,87.37,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
33,Naze,JP,78.08,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
38,Kirakira,SB,77.07,overcast clouds,-10.4544,161.9205,SanBiz Lodge
41,Kashi,CN,85.26,broken clouds,39.4547,75.9797,帕米尔青年旅舍
42,Massaguet,TD,79.56,heavy intensity rain,12.4755,15.4365,Alwatane
45,Hazorasp,UZ,76.84,clear sky,41.3194,61.0742,Kemping wifi hotel
47,Georgetown,MY,82.89,moderate rain,5.4112,100.3354,Cititel Penang
48,Crossville,US,84.15,clear sky,35.949,-85.0269,Hampton Inn Crossville
49,Oranjestad,AW,89.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
50,Jamestown,US,83.3,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
52,Det Udom,TH,79.74,overcast clouds,14.906,105.0784,Chatsuda Resort
57,Ipixuna,BR,87.75,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
60,Atuona,PF,77.27,light rain,-9.8,-139.0333,Villa Enata
76,Marsh Harbour,BS,83.86,clear sky,26.5412,-77.0636,Abaco Beach Resort
77,Ishinomaki,JP,76.17,broken clouds,38.4167,141.3,Hotel Route Inn Ishinomaki Henan Inter
78,East London,ZA,79.74,clear sky,-33.0153,27.9116,Tu Casa
84,Hithadhoo,MV,82.45,overcast clouds,-0.6,73.0833,Scoop Guest House
86,Ahar,IR,75.34,broken clouds,38.4774,47.0699,هتل رضوی
87,Nishihara,JP,80.26,scattered clouds,26.1842,127.7558,Minshuku Agaihama
88,Rajapur,IN,82.67,overcast clouds,25.3833,81.15,Sahu Ji Galla Mills
89,Velika Obarska,BA,89.55,broken clouds,44.8053,19.1642,Motel Šumice
91,Kamaishi,JP,76.66,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
97,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
99,Porto-Vecchio,FR,83.86,clear sky,41.591,9.2795,Hôtel Le Goéland - Casa Santini
101,Hami,CN,84.4,scattered clouds,42.8,93.45,Laoyutang Resort
106,Tevaitoa,PF,78.71,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
109,Victoria,HK,84.33,light rain,22.2855,114.1577,Mini Hotel Central
115,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
116,Axim,GH,77.38,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
122,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
124,Tsuruga,JP,81.64,moderate rain,35.6455,136.0558,New Sunpia Tsuruga
126,Bengkulu,ID,76.55,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
127,Ixtapa,MX,87.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
129,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
131,Pierre,US,88.72,clear sky,44.3683,-100.351,Ramkota Hotel
134,Mattawa,US,75.67,clear sky,46.7379,-119.9028,Sun & Sand Mobile Home Park
136,Lata,PT,80.04,clear sky,40.1629,-8.3327,Casa Maquia
137,Melendugno,IT,87.57,clear sky,40.2747,18.3368,Alba Bed & Breakfast Melendugno
140,Lucea,JM,89.46,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
142,Monte Carmelo,BR,77.02,clear sky,-18.7247,-47.4986,Park hotel
143,Lompoc,US,83.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
145,Manokwari,ID,77.52,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
146,La Romana,DO,89.96,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
155,Kuah,MY,82.38,few clouds,6.3265,99.8432,Azio Hotel
156,Sajanan,TN,84.47,broken clouds,37.0573,9.2426,Centre de culture du tabac sejenene
157,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
167,Lahad Datu,MY,77.34,overcast clouds,5.0268,118.327,The 27th House
171,Planaltina,BR,77.29,clear sky,-15.4528,-47.6142,Retiro Maranata
174,Fukue,JP,80.04,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
175,Santiago Tuxtla,MX,85.32,broken clouds,18.4667,-95.3,Hotel Santiago Plaza
176,Minbu,MM,79.41,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
178,Pemangkat,ID,78.6,overcast clouds,1.1667,108.9667,Ramah Kost KITA
186,Kailua,US,80.58,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
187,Fuling,CN,77.49,overcast clouds,29.7022,107.3919,Yingbin Hostel
189,Lokossa,BJ,75.31,moderate rain,6.6387,1.7167,Hotel Manel
191,Bethel,US,83.41,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
194,Niquero,CU,84.69,broken clouds,20.0431,-77.5828,Islazul Niquero
195,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
196,Wanlaweyn,SO,76.55,broken clouds,2.6185,44.8938,GAASHAAN HOME
207,Gizo,SB,80.22,broken clouds,-8.103,156.8419,Imagination Island
210,Zlitan,LY,85.33,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
215,Lorengau,PG,80.74,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
216,Aktau,KZ,88.38,scattered clouds,43.65,51.2,Silk Way Hotel
218,Swan River,CA,80.49,overcast clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
222,Tupaciguara,BR,76.12,clear sky,-18.5922,-48.705,Hotel Tupaciguara
223,Takoradi,GH,78.01,broken clouds,4.8845,-1.7554,Raybow International Hotel
224,Kavieng,PG,80.76,light rain,-2.5744,150.7967,Nusa Island Retreat
228,Huescar,ES,86.94,clear sky,37.811,-2.5412,Hotel El Maño
229,Namatanai,PG,77.45,light rain,-3.6667,152.4333,Seagulls Inn Namatani
231,Leiyang,CN,80.11,overcast clouds,26.4024,112.8591,Dongyang Hotel
240,Wanning,CN,82.06,overcast clouds,18.8003,110.3967,Paradise Hotel
241,Itarema,BR,85.08,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
242,Khatra,IN,81.18,overcast clouds,22.9833,86.85,Wi-Destination Solutions
246,Khalki,GR,81.59,clear sky,39.5667,22.5333,Τροχοσπιτο Χαλκη
248,Banjar,ID,78.66,broken clouds,-8.19,114.9675,The Hamsa Resort
250,Curvelo,BR,78.76,scattered clouds,-18.7564,-44.4308,Pontal Plaza Hotel
251,Galeana,MX,77.31,clear sky,24.8333,-100.0667,Mirador
253,Conde,BR,80.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
256,Salinopolis,BR,84.22,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
259,San Rafael Del Sur,NI,88.77,broken clouds,11.8485,-86.4384,Hospedaje El Chino
262,Sokoto,NG,84.81,overcast clouds,13.0609,5.239,Shukura Coral Hotel
263,Karatau,KZ,84.43,clear sky,43.1667,70.4667,Baza Zika
264,Masuda,JP,77.52,light rain,34.6667,131.85,Masuda Green Hotel Morris
265,Kavkazskaya,RU,82.18,light rain,45.445,40.6728,Гостевой дом
267,Limin Khersonisou,GR,84.24,clear sky,35.3162,25.3928,Creta Maris Beach Resort
273,Tura,IN,75.63,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
287,Chalus,IR,81.86,scattered clouds,36.655,51.4204,نظام مهندسي ساختمان چالوس
288,Izmit,TR,77.27,scattered clouds,40.7669,29.9169,Seka Park Hotel
292,Faanui,PF,78.73,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
294,Aden,YE,85.46,few clouds,12.7794,45.0367,Sama Emirate Hotel
297,Kannod,IN,76.68,overcast clouds,22.6667,76.7333,Puspendra Sardiya Kannod
301,Tual,ID,80.2,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
303,Kuhdasht,IR,85.06,clear sky,33.535,47.6061,فروشگاه زنبیل
305,Kijang,KR,76.73,light rain,35.2442,129.2139,Samyang Beach Villa
306,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
307,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
309,Sampit,ID,75.18,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
311,Padang,ID,78.84,light rain,-0.9492,100.3543,Mercure Padang
320,Amahai,ID,75.88,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
324,Ribeira Grande,PT,77.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
328,Kaseda,JP,77.34,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
329,Simoes,BR,89.51,clear sky,-7.5989,-40.8178,Hotel Ponto Certo
335,Ciudad Bolivar,VE,88.75,broken clouds,8.1222,-63.5497,Hotel Edi
338,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
341,Sechura,PE,76.59,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
342,Puerto Del Rosario,ES,80.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
345,Kudahuvadhoo,MV,82.78,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
346,Helena,US,78.24,clear sky,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
347,Rio Grande,BR,86.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
348,Port Arthur,CN,80.91,light rain,38.8,121.2667,Friendship Hotel
350,Kokomo,US,88.21,scattered clouds,40.4864,-86.1336,Hampton Inn & Suites Kokomo
355,Akyab,MM,81.37,overcast clouds,20.15,92.9,Hotel Memory
358,Tahara,JP,84.24,moderate rain,34.6667,137.2667,Tahara City Hotel
360,Shache,CN,76.73,overcast clouds,38.4167,77.2406,Delong Hotel
362,Shieli,KZ,82.89,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
364,Phan Thiet,VN,79.88,broken clouds,10.9333,108.1,Hotel Saigon-PT
368,Changji,CN,83.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
369,Paranhos,BR,86.9,clear sky,-23.8928,-55.4311,Hotel Saron
372,Kinshasa,CD,81.95,few clouds,-4.3246,15.3215,Flat Hotel Alhdeef
378,Ponta Do Sol,PT,76.01,broken clouds,32.6667,-17.1,Hotel do Campo
383,Marsa Matruh,EG,80.06,clear sky,31.3525,27.2453,Beau Site
384,Sur,OM,89.58,clear sky,22.5667,59.5289,Sur Plaza Hotel
386,Lazaro Cardenas,MX,85.55,overcast clouds,17.9583,-102.2,quinta antigua
389,Inirida,CO,76.26,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
393,Caranavi,BO,81.27,few clouds,-15.8167,-67.55,Hotel Landivar
396,Bawku,GH,80.74,broken clouds,11.0616,-0.2417,Ultimate Guest House
405,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
410,Tefe,BR,89.71,few clouds,-3.3542,-64.7114,Aracati Hotel
411,Sheboygan,US,87.35,haze,43.7333,-87.9334,Baymont by Wyndham Plymouth
413,Vazante,BR,79.41,clear sky,-17.9869,-46.9078,Hotel Pousada e Restaurante
414,Urambo,TZ,77.04,scattered clouds,-5.0667,32.05,Fair Lodge
417,Half Moon Bay,US,82.9,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
420,Harrisonville,US,86.61,scattered clouds,38.6533,-94.3488,Americas Best Value Inn & Suites Harrisonville
430,Palmer,US,86.14,broken clouds,42.1584,-72.3287,Wedgewood Motel
431,Santa Rosalia,MX,88.05,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
436,Meulaboh,ID,78.73,overcast clouds,4.1363,96.1285,Kost Pria
437,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
438,Prado,BR,75.13,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
439,Goderich,CA,77.04,overcast clouds,43.7501,-81.7165,Harmony Inn
443,Dimbokro,CI,79.81,light rain,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
445,Katsuura,JP,84.31,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
449,Kalmunai,LK,80.56,overcast clouds,7.4167,81.8167,VS Villa
457,Kudat,MY,78.73,few clouds,6.8837,116.8477,Dream Garden Hotel
459,Ouargaye,BF,83.84,broken clouds,11.5033,0.0572,Résidence le Cotonnier
462,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
464,Pacific Grove,US,77.16,scattered clouds,36.6177,-121.9166,Lovers Point Inn
465,Wenling,CN,78.8,few clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
468,Harper,LR,78.13,broken clouds,4.375,-7.7169,Screensaver
472,La Maddalena,IT,86.05,broken clouds,41.2142,9.4083,Hotel Il Gabbiano
473,Sola,VU,75.61,overcast clouds,-13.8833,167.55,Leumerus Bungalows
474,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
475,Shishou,CN,78.91,overcast clouds,29.7226,112.419,Chuyuan Hotel
477,Savannah Bight,HN,89.65,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
480,Port Blair,IN,82.4,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
482,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
483,Isla Mujeres,MX,89.65,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
484,Chiang Rai,TH,78.78,few clouds,19.9167,99.9167,Bansaeo Garden and Resort
485,Chaohu,CN,80.71,overcast clouds,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
489,Nantucket,US,84.54,overcast clouds,41.2835,-70.0995,Jared Coffin House
491,Abu Zabad,SD,75.33,overcast clouds,12.35,29.25,حامد محمد نور
495,Jasidih,IN,81.12,broken clouds,24.5167,86.65,OYO 18873 Hotel Comfort
503,Perene,PE,88.95,clear sky,-10.9492,-75.2261,Hospedaje EL TIGRE
506,Weiser,US,83.48,scattered clouds,44.251,-116.9693,The Colonial Motel
508,Sibolga,ID,77.07,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
515,Guerrero Negro,MX,77.43,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
518,Shimoda,JP,82.51,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
521,Warri,NG,75.99,overcast clouds,5.5167,5.75,BON Hotel Delta
529,Sapele,NG,75.34,light rain,5.8941,5.6767,Movig Hotel & Suites
532,Balykshi,KZ,89.6,clear sky,47.0667,51.8667,Гостиница Golden Rose
534,Naliya,IN,82.35,scattered clouds,23.2667,68.8333,jadeja jayendrasinh
535,Garowe,SO,86.56,broken clouds,8.4054,48.4845,Curubo Hotel
539,Mogadouro,PT,80.78,clear sky,41.3403,-6.7119,Pensão Russo
540,Kefalos,GR,82.62,clear sky,36.7453,26.9589,Kokalakis Hotel
542,Santa Maria,BR,82.26,clear sky,-29.6842,-53.8069,Hotel Morotin
543,Sangalhos,PT,80.1,clear sky,40.4868,-8.4697,Hotel Paraiso
546,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
547,Tabou,CI,78.03,broken clouds,4.423,-7.3528,hotêl doufoulougou
549,Yanam,IN,83.05,broken clouds,16.7333,82.2167,The Regency Hotel
552,Fort Frances,CA,77.16,overcast clouds,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
553,Kavaratti,IN,81.23,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
556,Palauig,PH,80.82,overcast clouds,15.435,119.9045,Alperi Botique Resort
561,Mastic Beach,US,75.24,moderate rain,40.7668,-72.8521,Brushwood House by Smith Point Beach
563,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
566,Iracoubo,GF,82.44,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
568,Calvia,ES,81.91,clear sky,39.5657,2.5062,Castell Son Claret
572,Kapuskasing,CA,75.29,overcast clouds,49.4169,-82.4331,Park Inn Motel
577,Votorantim,BR,79.81,few clouds,-23.5467,-47.4378,Hotel Bela Vista Votorantim
583,Kulhudhuffushi,MV,82.08,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
591,Morgantown,US,86.59,light rain,39.6295,-79.9559,Morgantown Marriott at Waterfront Place
594,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
596,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
597,Bato,PH,78.26,overcast clouds,13.3528,123.3677,Casa de Piedra
598,Basco,PH,84.29,light rain,20.4487,121.9702,Nathaniel's Lodge
600,Garden City,US,88.05,haze,42.3256,-83.331,Quality Inn & Suites Banquet Center
601,Hambantota,LK,78.89,broken clouds,6.1241,81.1185,Bungalow 63
603,Oistins,BB,87.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
610,Kinkala,CG,76.41,few clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
612,The Valley,AI,89.46,haze,18.217,-63.0578,CeBlue Villas & Beach Resort
613,Tezu,IN,77.45,overcast clouds,27.9167,96.1667,Circuit House
614,Kismayo,SO,76.17,broken clouds,-0.3582,42.5454,Agan-Hotel
616,Ejido,VE,75.24,broken clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
621,Russell,US,89.51,few clouds,32.3502,-85.1999,Macs
623,Kutoarjo,ID,75.29,few clouds,-7.7169,109.9128,Massagus Hotel
626,Paita,PE,75.76,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
630,Samarai,PG,77.32,overcast clouds,-10.6167,150.6667,Nuli Sapi
631,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
638,Talagang,PK,88.57,scattered clouds,32.9297,72.4158,Sajid Iqbal Manzil
640,Mogadishu,SO,76.59,scattered clouds,2.0371,45.3438,Hotel Juba
641,Wyndham,US,89.06,clear sky,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
648,Upata,VE,80.35,overcast clouds,8.0086,-62.3989,Posada Villa Nela
650,Dingle,PH,76.44,light rain,10.9995,122.6711,SEGAYA PROPERTY
655,Praia Da Vitoria,PT,80.85,scattered clouds,38.7333,-27.0667,Hotel Branco I
657,Dinar,TR,76.96,clear sky,38.065,30.1656,Dinar Öğretmenevi
667,Tres Lagoas,BR,88.0,clear sky,-20.7511,-51.6783,Druds Express Hotel
669,Boffa,GN,77.68,light rain,10.1667,-14.0333,Hôtel Niara Belly
670,Chitrakonda,IN,77.29,broken clouds,18.1167,82.0833,Sri venkateswara swamy temple
678,Manikpur,IN,81.21,overcast clouds,25.0667,81.1167,Pure Jhau Lal
679,Santa Isabel Do Rio Negro,BR,75.36,overcast clouds,-0.4139,-65.0192,Hotel GSA
680,Aksu,CN,77.13,few clouds,41.1231,80.2644,Pudong Holiday Hotel
684,Praia,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
